Date,euro
2018-03-01,70.2281
2018-04-01,75.291100
2018-05-01,72.468102
2018-06-01,72.676003
2018-07-01,72.851997
2018-08-01,79.610001
2018-09-01,76.130997
2018-10-01,74.286003
2018-11-01,75.307999
2018-12-01,79.499702
2019-01-01,75.153999
2019-02-01,74.817001
2019-03-01,73.737000
2019-04-01,72.110001
2019-05-01,72.650002
2019-06-01,71.735001
2019-07-01,70.879997
2019-08-01,73.558998
2019-09-01,72.417000
2019-10-01,71.112900
2019-11-01,70.869202
2019-12-01,69.455299
2020-01-01,69.726402
2020-02-01,73.595200
2020-03-01,87.816803
2020-04-01,79.510300
2020-05-01,77.937302
2020-06-01,78.912300
2020-07-01,87.084297
2020-08-01,88.016899
2020-09-01,92.757500
2020-10-01,92.094101
2020-11-01,90.861603
2020-12-01,91.471497
2021-01-01,92.013199
2021-02-01,89.7783
2021-03-01,89.0188
2021-04-01,90.6436
2021-05-01,89.3046
