Date,key_rate
2018-03-01,7.5
2018-04-01,7.25
2018-05-01,7.25
2018-06-01,7.25
2018-07-01,7.25
2018-08-01,7.25
2018-09-01,7.25
2018-10-01,7.5
2018-11-01,7.5
2018-12-01,7.5
2019-01-01,7.75
2019-02-01,7.75
2019-03-01,7.75
2019-04-01,7.75
2019-05-01,7.75
2019-06-01,7.75
2019-07-01,7.5
2019-08-01,7.25
2019-09-01,7.25
2019-10-01,7
2019-11-01,6.5
2019-12-01,6.5
2020-01-01,6.25
2020-02-01,6.25
2020-03-01,6
2020-04-01,6
2020-05-01,5.5
2020-06-01,5.5
2020-07-01,4.5
2020-08-01,4.25
2020-09-01,4.25
2020-10-01,4.25
2020-11-01,4.25
2020-12-01,4.25
2021-01-01,4.25
2021-02-01,4.25
2021-03-01,4.25
2021-04-01,4.5
2021-05-01,5
