Date,usd
2018-03-01,57.3220
2018-04-01,62.320202
2018-05-01,62.097000
2018-06-01,62.833900
2018-07-01,62.206402
2018-08-01,68.202698
2018-09-01,65.579803
2018-10-01,65.472000
2018-11-01,66.069702
2018-12-01,69.521202
2019-01-01,65.414398
2019-02-01,65.725800
2019-03-01,65.543900
2019-04-01,64.431801
2019-05-01,65.213898
2019-06-01,63.057400
2019-07-01,63.490799
2019-08-01,66.491501
2019-09-01,65.514702
2019-10-01,63.750801
2019-11-01,64.056198
2019-12-01,61.971100
2020-01-01,63.196098
2020-02-01,66.269096
2020-03-01,79.589203
2020-04-01,73.065399
2020-05-01,70.504898
2020-06-01,69.973000
2020-07-01,73.321503
2020-08-01,74.130203
2020-09-01,78.965103
2020-10-01,78.838303
2020-11-01,75.991501
2020-12-01,74.522003
2021-01-01,75.919998
2021-02-01,74.7063
2021-03-01,75.9040
2021-04-01,74.7293
2021-05-01,73.1947
