date,query
2018-03-01,56664
2018-04-01,61502
2018-05-01,54610
2018-06-01,50477
2018-07-01,52834
2018-08-01,65525
2018-09-01,73075
2018-10-01,68945
2018-11-01,71719
2018-12-01,65702
2019-01-01,53274
2019-02-01,77840
2019-03-01,70086
2019-04-01,69530
2019-05-01,61271
2019-06-01,63342
2019-07-01,66977
2019-08-01,81818
2019-09-01,88347
2019-10-01,89440
2019-11-01,100114
2019-12-01,98803
2020-01-01,86024
2020-02-01,119994
2020-03-01,114857
2020-04-01,106895
2020-05-01,83337
2020-06-01,105443
2020-07-01,113505
2020-08-01,149150
2020-09-01,190389
2020-10-01,196210
2020-11-01,244999
2020-12-01,234617
2021-01-01,197571
2021-02-01,255716
2021-03-01,226864
2021-04-01,245962
2021-05-01,231633
