date,query
2018-03-01,391
2018-04-01,321
2018-05-01,263
2018-06-01,289
2018-07-01,325
2018-08-01,311
2018-09-01,396
2018-10-01,319
2018-11-01,363
2018-12-01,307
2019-01-01,167
2019-02-01,345
2019-03-01,325
2019-04-01,432
2019-05-01,326
2019-06-01,274
2019-07-01,326
2019-08-01,402
2019-09-01,436
2019-10-01,334
2019-11-01,494
2019-12-01,586
2020-01-01,434
2020-02-01,646
2020-03-01,592
2020-04-01,527
2020-05-01,648
2020-06-01,816
2020-07-01,871
2020-08-01,1049
2020-09-01,1229
2020-10-01,1222
2020-11-01,1331
2020-12-01,1220
2021-01-01,937
2021-02-01,1115
2021-03-01,878
2021-04-01,1165
2021-05-01,978
