Date,CPI
2018-03-01,102.35
2018-04-01,102.4
2018-05-01,102.41
2018-06-01,102.29
2018-07-01,102.5
2018-08-01,103.06
2018-09-01,106.38
2018-10-01,103.54
2018-11-01,103.83
2018-12-01,104.26
2019-01-01,104.99
2019-02-01,105.22
2019-03-01,105.25
2019-04-01,105.17
2019-05-01,105.13
2019-06-01,105.1
2019-07-01,104.7
2019-08-01,104.6
2019-09-01,104.3
2019-10-01,104.0
2019-11-01,103.8
2019-12-01,103.5
2020-01-01,103.0
2020-02-01,102.4
2020-03-01,102.3
2020-04-01,102.5
2020-05-01,103.0
2020-06-01,103.2
2020-07-01,103.37
2020-08-01,103.58
2020-09-01,103.67
2020-10-01,103.99
2020-11-01,104.42
2020-12-01,104.91
2021-01-01,105.19
2021-02-01,105.67
2021-03-01,105.79
2021-04-01,105.53
2021-05-01,106.02
