Date,flats_pric
2018-03-01,101388
2018-04-01,101531
2018-05-01,102519
2018-06-01,102707
2018-07-01,102952
2018-08-01,103742
2018-09-01,103935
2018-10-01,104206
2018-11-01,105498
2018-12-01,107859
2019-01-01,108463
2019-02-01,110130
2019-03-01,111621
2019-04-01,112526
2019-05-01,113209
2019-06-01,113364
2019-07-01,114405
2019-08-01,115942
2019-09-01,116584
2019-10-01,117192
2019-11-01,117894
2019-12-01,118750
2020-01-01,119283
2020-02-01,120698
2020-03-01,123028
2020-04-01,129533
2020-05-01,130262
2020-06-01,130015
2020-07-01,131886
2020-08-01,133021
2020-09-01,135235
2020-10-01,141553
2020-11-01,145309
2020-12-01,149973
2021-01-01,154098
2021-02-01,158461
2021-03-01,161564
2021-04-01,168923
2021-05-01,175822
